system,time_sec,L,recall_at,recall_target,recall_pct,search_qps,p50_lat_us,p90_lat_us,p99_lat_us,mean_ios,memory_rss_mb,disk_usage_mb,reorg_running
DC-PDI,1.0184,50,10,90,0.129683,689.427,27612.7,38576.2,417737,65.2003,1569.95,6493.45,0
DC-PDI,2.03214,50,10,90,0,1330.04,23926.8,26148.5,28515.3,65.3942,1570.14,6505.72,0
DC-PDI,3.04589,50,10,90,0,1323.92,24078.6,26188,28675.4,65.3338,1570.09,6517.43,0
DC-PDI,4.0584,50,10,90,0,1320.86,24135.9,26320.2,28491.1,65.407,1565.27,6529.14,0
DC-PDI,5.07092,50,10,90,0,1324.68,24087.3,26169.4,28717.4,65.3326,1565.27,6540.86,0
DC-PDI,6.08503,50,10,90,0,1316.47,24343.8,26364.9,29066,65.3496,1565.27,6553.35,0
DC-PDI,7.09743,50,10,90,0,1308,24347.8,26474.7,30001.2,65.376,1565.27,6564.37,0
DC-PDI,8.11222,50,10,90,0.136157,1306.08,24447.6,26505.6,28452.7,65.2496,1565.95,6576.79,0
DC-PDI,9.12523,50,10,90,0,1283,24822.6,27158.5,30001.3,65.424,1566.27,6587.72,0
DC-PDI,10.139,50,10,90,0,1288.44,24733.3,26805.5,29440.2,65.3586,1566.28,6599.43,0
DC-PDI,11.1532,50,10,90,0,1283.21,24756.3,27055.5,31749.3,65.3036,1564.18,6611.15,0
DC-PDI,12.1672,50,10,90,0,1288.75,24804.7,26868.4,29349.6,65.4002,1564.82,6622.87,0
DC-PDI,13.1815,50,10,90,0,1286.87,24716.7,26926.7,29496.1,65.3172,1565.61,6634.57,0
DC-PDI,14.1955,50,10,90,0,1285.68,24776.6,26814.6,29020.4,65.4548,1565.55,6646.36,0
DC-PDI,15.2096,50,10,90,0,1282.06,24824.1,26749.1,29457.6,65.2454,1562.91,6658.14,0
DC-PDI,16.2234,50,10,90,0.137195,1293.76,24600.1,26773,28957.8,65.221,1563.02,6669.93,0
DC-PDI,17.2374,50,10,90,0,1300.96,24478.4,26771.8,29331,65.4685,1563.11,6681.69,0
DC-PDI,18.2514,50,10,90,0,1306.79,24447.2,26647.4,29677.7,65.3094,1556.69,6693.4,0
DC-PDI,19.2654,50,10,90,0,1298.83,24536.6,26648.6,30640.6,65.3356,1556.71,6705.1,0
DC-PDI,20.2799,50,10,90,0,1303.68,24449.7,26455.8,29382.2,65.4024,1557.57,6716.81,0
DC-PDI,21.2936,50,10,90,0,1309.04,24369.9,26360.9,29167.9,65.2854,1557.73,6728.58,0
DC-PDI,22.3075,50,10,90,0,1303.12,24490.9,26587.6,28997.9,65.4731,1557.73,6740.43,0
DC-PDI,23.3207,50,10,90,0,1316.7,24181.4,26248.3,28331.3,65.203,1557.73,6752.14,0
DC-PDI,24.3348,50,10,90,0.135135,1314.88,24278,26468.5,28642.8,65.3671,1557.74,6764.62,0
DC-PDI,25.3486,50,10,90,0,1306.37,24359.9,26470.5,28948.3,65.2913,1557.27,6776.48,0
DC-PDI,26.3624,50,10,90,0,1308.94,24374.9,26473.5,28708.5,65.4145,1557.82,6788.16,0
DC-PDI,27.376,50,10,90,0,1311.91,24228.2,26539.6,28928.5,65.3639,1558.3,6799.86,0
DC-PDI,28.39,50,10,90,0,1310.16,24308.7,26523,29027.5,65.3614,1543.5,6811.69,0
DC-PDI,29.4022,50,10,90,0,1296.83,24547.3,26575.4,29111.5,65.4297,1543.5,6823.39,0
DC-PDI,30.4144,50,10,90,0,1300.19,24504.5,26542.5,29873.7,65.3108,1543.5,6835.16,0
DC-PDI,31.4257,50,10,90,0.136674,1301.4,24421.4,26573.3,28895.6,65.1891,1543.5,6846.85,0
DC-PDI,32.4386,50,10,90,0,1304.98,24493.2,26729.9,29356,65.4833,1543.51,6858.93,0
DC-PDI,33.4532,50,10,90,0,1304.17,24422.4,26505.7,28896.3,65.3316,1543.51,6871.01,0
DC-PDI,34.4662,50,10,90,0,1305.95,24345.6,26611.2,30177,65.3004,1543.51,6881.98,0
DC-PDI,35.4785,50,10,90,0,1307.2,24432.4,26607.1,29038.4,65.3844,1537.7,6893.82,0
DC-PDI,36.4926,50,10,90,0,1298.62,24454.7,26690.3,28994.4,65.3582,1537.7,6906.2,0
DC-PDI,37.5067,50,10,90,0,1302.8,24426.1,26651.6,29137.1,65.4262,1537.73,6917.94,0
DC-PDI,38.5206,50,10,90,0,1311.49,24349.5,26577.9,29173.2,65.1759,1537.73,6929.7,0
DC-PDI,39.5343,50,10,90,0.135338,1311.71,24346.2,26559.8,29112.4,65.3805,1537.91,6941.4,0
DC-PDI,40.5468,50,10,90,0,1309.23,24369.4,26407.1,29326.2,65.358,1537.91,6953.22,0
DC-PDI,41.5609,50,10,90,0,1305.45,24437.7,26441.7,28691.3,65.3404,1537.91,6965.52,0
DC-PDI,42.575,50,10,90,0,1299.75,24525.8,26567.7,29099.5,65.3733,1543.98,6977.31,0
DC-PDI,43.5891,50,10,90,0,1307.65,24403.5,26492.1,29107,65.4148,1544.5,6988.99,0
DC-PDI,44.6031,50,10,90,0,1301.61,24505.9,26568.9,29053.6,65.3561,1544.52,7001.43,0
DC-PDI,45.6169,50,10,90,0,1293.99,24586.9,26565.6,28989.3,65.3194,1544.52,7013.25,0
DC-PDI,46.6293,50,10,90,0.136986,1295.94,24632.6,26728.1,29089.7,65.2481,1544.71,7024.97,0
DC-PDI,47.641,50,10,90,0,1303.05,24446,26738,29402,65.4306,1544.71,7036.64,0
DC-PDI,48.6552,50,10,90,0,1300.77,24537.2,26576.2,28990.7,65.3465,1544.71,7049.1,0
DC-PDI,49.6696,50,10,90,0,1302.82,24438,26583.1,28683.2,65.326,1543.45,7060.75,0
DC-PDI,50.6837,50,10,90,0,1303.8,24463.2,26629.4,29367.6,65.3714,1543.66,7072.44,0
DC-PDI,51.6979,50,10,90,0,1309.43,24358.5,26552,28896.7,65.2982,1543.66,7084.08,0
DC-PDI,52.712,50,10,90,0,1300.58,24486.1,26736.5,28987.3,65.4943,1543.73,7095.7,0
DC-PDI,53.7262,50,10,90,0,1312.43,24347.5,26585.1,29132.6,65.1991,1543.61,7107.3,0
DC-PDI,54.74,50,10,90,0.136364,1301.7,24445.3,26618.2,29115.3,65.3008,1543.82,7119.08,0
DC-PDI,55.7541,50,10,90,0,1304.91,24400.8,26519.5,29180.2,65.3757,1543.71,7130.69,0
DC-PDI,56.7664,50,10,90,0,1302.65,24571.3,26600.4,29082.7,65.3369,1543.71,7142.49,0
DC-PDI,57.7808,50,10,90,0,1286.15,24647.7,26718.9,28936.8,65.394,1543.91,7154.91,0
DC-PDI,58.7948,50,10,90,0,1302.24,24469.3,26689.3,28641.2,65.3618,1544.08,7166.58,0
DC-PDI,59.8087,50,10,90,0,1311.7,24374.5,26595.3,29007.4,65.3436,1537.12,7178.16,0
DC-PDI,60.8226,50,10,90,0,1296.83,24550.8,26562,29749.8,65.4008,1539.63,7189.85,0
DC-PDI,61.8348,50,10,90,0,1307.9,24411,26460,28897.7,65.2655,1539.81,7201.52,0
DC-PDI,62.8488,50,10,90,0.13751,1293.27,24616,26775.3,29278,65.3697,1539.81,7213.91,0
DC-PDI,63.8628,50,10,90,0,1297.88,24573.8,26611.9,29133.7,65.3412,1539.81,7225.59,0
DC-PDI,64.8768,50,10,90,0,1290.83,24720.6,26771.9,28879.7,65.3338,1539.81,7237.48,0
DC-PDI,65.8908,50,10,90,0,1287.04,24754.3,26657.6,29222.3,65.413,1539.75,7249.78,0
DC-PDI,66.905,50,10,90,0,1286.04,24759.8,26774.5,29019.1,65.3067,1525.83,7261.71,0
DC-PDI,67.9189,50,10,90,0,1293.57,24704.2,26737.4,28657,65.42,1526.52,7273.46,0
DC-PDI,68.9312,50,10,90,0,1292.09,24684.9,26582.6,29519.1,65.2618,1526.52,7285.27,0
DC-PDI,69.9462,50,10,90,0.136364,1303.7,24464.9,26692.9,28830.3,65.2508,1529.45,7297.58,0
DC-PDI,70.9601,50,10,90,0,1290.88,24630,26778.9,29056.8,65.4473,1530.58,7309.21,0
DC-PDI,71.9741,50,10,90,0,1297.9,24558.8,26700.6,29228.9,65.326,1530.74,7320.98,0
DC-PDI,72.9881,50,10,90,0,1300.85,24591.1,26755.6,28529,65.3359,1531.47,7332.64,0
DC-PDI,74.0017,50,10,90,0,1293.74,24717,26784.6,29586.8,65.3933,1524.23,7344.2,0
DC-PDI,75.014,50,10,90,0,1301.63,24547.8,26629.8,29321.3,65.3207,1526.31,7356.16,0
DC-PDI,76.0284,50,10,90,0,1304.55,24498.4,26637.7,29340.4,65.4504,1528.96,7368.21,0
DC-PDI,77.0425,50,10,90,0,1307.28,24417.8,26620.3,29127.4,65.1953,1529.12,7379.79,0
DC-PDI,78.0568,50,10,90,0.136467,1300.68,24407,26733.6,29346.7,65.345,1529.54,7391.32,0
DC-PDI,79.0708,50,10,90,0,1291.58,24663.3,26742,29393.1,65.3382,1530.12,7402.96,0
DC-PDI,80.085,50,10,90,0,1296.78,24656.4,26759.9,28698.6,65.397,1529.95,7414.63,0
DC-PDI,81.0983,50,10,90,0,1287.8,24706.4,26722.4,29369,65.3974,1529.82,7426.35,0
DC-PDI,82.1125,50,10,90,0,1295.95,24621.8,26850.1,28998,65.3762,1529.82,7438.68,0
DC-PDI,83.1268,50,10,90,0,1283.56,24867.6,26764,29403.8,65.3548,1529.82,7450.4,0
DC-PDI,84.1391,50,10,90,0,1285.64,24775.7,26745.8,29422.4,65.3221,1530.05,7462.09,0
DC-PDI,85.1523,50,10,90,0.136467,1302.87,24519.7,26767.8,29187.8,65.2479,1530.05,7473.99,0
DC-PDI,86.1663,50,10,90,0,1284.9,24746.3,26894,28992.1,65.4286,1530.28,7486.06,0
DC-PDI,87.1805,50,10,90,0,1294.98,24611.1,26851.8,29170.5,65.3298,1528.01,7497.81,0
DC-PDI,88.1945,50,10,90,0,1288.83,24760,26788.4,28958.1,65.3619,1529.95,7509.43,0
DC-PDI,89.2085,50,10,90,0,1283.1,24823.8,26896.2,29639.9,65.3943,1530.11,7521.75,0
DC-PDI,90.2218,50,10,90,0,1275.07,24979.9,26886.2,29345.2,65.3101,1527.43,7533.53,0
DC-PDI,91.236,50,10,90,0,1278.97,24969.6,26920,29498.9,65.5039,1527.66,7545.56,0
DC-PDI,92.2487,50,10,90,0,1285.69,24822.7,26753.3,29255.8,65.1979,1528.2,7557.29,0
DC-PDI,93.2624,50,10,90,0.138889,1279.94,24845.8,26955,29024.2,65.3048,1516.4,7569.39,0
DC-PDI,94.2762,50,10,90,0,1279.39,24891.1,26948.3,29039.1,65.4102,1521.86,7581.66,0
DC-PDI,95.2905,50,10,90,0,1285.17,24800.5,26781.3,29486.5,65.2886,1524.25,7593.44,0
DC-PDI,96.3045,50,10,90,0,1282.8,24828.5,26849.1,28965.1,65.4135,1524.25,7605.23,0
