system,time_sec,L,recall_at,recall_target,recall_pct,search_qps,p50_lat_us,p90_lat_us,p99_lat_us,mean_ios,memory_rss_mb,disk_usage_mb,reorg_running
FreshDiskANN,1.03329,25,10,85,90.9617,2062.16,15120.2,17173,20620.4,45.7493,1317.68,6519.06,0
FreshDiskANN,2.04332,20,10,85,88.4334,2625.7,11590.2,14822.3,20324.6,41.216,1335.26,6519.06,0
FreshDiskANN,3.04669,20,10,85,84.6596,3258.98,9747.85,11291,14195.7,36.7234,1341.95,6519.06,0
FreshDiskANN,4.06186,20,10,85,83.5887,2511.89,12492.8,14662,21072.6,36.5145,1355.86,6519.06,0
FreshDiskANN,5.07423,20,10,85,84.6702,2776.25,11143.3,13809.5,26007.1,36.6007,1378.54,6519.06,0
FreshDiskANN,6.08663,20,10,85,84.1675,3150.19,10052,11684.9,13928.7,36.7573,1386.61,6519.06,0
FreshDiskANN,7.09848,20,10,85,84.4788,2975.25,10020.3,11941.4,41978.7,36.5276,1418.51,6519.06,0
FreshDiskANN,8.11327,20,10,85,84.1094,2947.13,10447.4,13213.6,20421.3,36.6434,1422.73,6519.06,0
FreshDiskANN,9.12776,20,10,85,84.3826,2656.23,11853.4,13832.2,18202.6,36.7078,1427.07,6519.06,0
FreshDiskANN,10.1424,20,10,85,84.7267,2650.76,11962.5,13854.4,16350.9,36.6735,1430.91,6519.06,0
FreshDiskANN,11.1546,20,10,85,83.5641,2875.73,10182.1,12434.3,70677.3,36.4664,1431.88,6519.06,0
FreshDiskANN,12.1667,20,10,85,84.5601,3133.49,10000.6,11728.6,15515.6,36.6764,1431.9,6519.06,0
FreshDiskANN,13.1789,20,10,85,84.5179,3166.56,10008.6,11608.6,13696.6,36.722,1431.9,6519.06,0
FreshDiskANN,14.1909,20,10,85,83.9803,3207.04,9885.46,11429.5,13328.8,36.5407,1431.9,6519.06,0
FreshDiskANN,15.2028,20,10,85,84.4821,3205.44,9873.41,11418.5,13167.6,36.6276,1431.9,6519.06,0
FreshDiskANN,16.2146,20,10,85,84.2577,2769.24,9948.85,11997.8,110168,36.7423,1470.07,6519.06,0
FreshDiskANN,17.2265,20,10,85,84.4523,3211.9,9849.47,11437.5,13066.4,36.5375,1474.18,6519.06,0
FreshDiskANN,18.2384,20,10,85,84.2545,3207.79,9862.14,11395.5,13233.2,36.6242,1478.2,6519.06,0
FreshDiskANN,19.2503,20,10,85,84.3267,3199.69,9882.1,11495.4,13593,36.7239,1482.61,6519.06,0
FreshDiskANN,20.2623,20,10,85,84.3986,3163.54,9857.9,11593.5,17350,36.5561,1487.17,6519.06,0
FreshDiskANN,21.2746,20,10,85,84.1791,3189.61,9909.54,11542.5,13436.4,36.6456,1491.69,6519.06,0
FreshDiskANN,22.289,20,10,85,84.2226,2636.67,12041.4,14080,16414.4,36.6793,1495.97,6519.06,0
FreshDiskANN,23.301,20,10,85,84.8142,2227.65,12107,14284.2,158029,36.6903,1602.94,6519.06,0
FreshDiskANN,24.3132,20,10,85,83.6591,3165.29,9977.06,11602.7,13422.2,36.493,1607.38,6519.06,0
FreshDiskANN,25.3254,20,10,85,84.5888,3111.25,10012.6,11766.7,18337.2,36.6672,1612.04,6519.06,0
FreshDiskANN,26.3378,20,10,85,84.4972,3143.57,10073.6,11663.2,13865.7,36.7187,1616.7,6519.06,0
FreshDiskANN,27.3497,20,10,85,84.0049,3196.31,9941.33,11459,13374.6,36.5451,1620.74,6519.06,0
FreshDiskANN,28.3616,20,10,85,84.5566,3231.46,9785.81,11364,12990.9,36.6229,1624.86,6519.06,0
FreshDiskANN,29.3741,20,10,85,84.2764,3182.03,9970.84,11549.9,13712.6,36.7388,1629.77,6519.06,0
FreshDiskANN,30.386,20,10,85,84.1796,3190.58,9909.48,11513.3,13469.3,36.5409,1634.16,6519.06,0
FreshDiskANN,31.398,20,10,85,84.4554,3202.52,9876.39,11421.1,13113.8,36.5977,1638.3,6519.06,0
FreshDiskANN,32.4101,20,10,85,84.2563,3069.25,9929.29,11680.6,37335.6,36.7527,1648.3,6519.06,0
FreshDiskANN,33.4222,20,10,85,84.3385,3233.86,9808.9,11314.9,13048.6,36.5448,1652.33,6519.06,0
FreshDiskANN,34.4343,20,10,85,84.2989,3199.4,9888.91,11428.4,13243.7,36.6254,1657.2,6519.06,0
FreshDiskANN,35.4461,20,10,85,84.2969,2149.88,9984.39,11843.9,326124,36.7275,1802.31,6519.06,0
FreshDiskANN,36.4582,20,10,85,84.5217,3182.51,9966.91,11538,13631.2,36.6516,1806.29,6519.06,0
FreshDiskANN,37.4703,20,10,85,83.9,3202.36,9886.21,11454.7,13270.9,36.5773,1810.46,6519.06,0
FreshDiskANN,38.4823,20,10,85,84.4339,3219.83,9833.31,11380.4,13209.4,36.6579,1814.62,6519.06,0
FreshDiskANN,39.4944,20,10,85,84.6884,3218.58,9850.72,11368.7,13599.5,36.6656,1818.9,6519.06,0
FreshDiskANN,40.5066,20,10,85,83.7055,3194.38,9903.3,11476.5,13193.9,36.5333,1822.96,6519.06,0
FreshDiskANN,41.5187,20,10,85,84.6156,3187.22,9928.03,11488.8,13252.5,36.6727,1827.34,6519.06,0
FreshDiskANN,42.531,20,10,85,84.5757,3178.27,9954.69,11529.1,13592.3,36.7109,1831.72,6519.06,0
FreshDiskANN,43.5433,20,10,85,83.8193,3224.43,9850.46,11387.9,13191.6,36.4965,1836.14,6519.06,0
FreshDiskANN,44.5556,20,10,85,84.365,3205.41,9845.89,11448,13165.6,36.6702,1840.44,6519.06,0
FreshDiskANN,45.5676,20,10,85,84.6747,3203.98,9905.01,11423.2,13500.3,36.7216,1844.89,6519.06,0
FreshDiskANN,46.5796,20,10,85,83.7308,3223.15,9822.36,11388.7,13107.3,36.4954,1848.95,6519.06,0
FreshDiskANN,47.5918,20,10,85,84.5289,3209.27,9869.34,11441.5,13041.8,36.6715,1853.34,6519.06,0
FreshDiskANN,48.604,20,10,85,84.546,3209.97,9865.47,11419.5,13528.8,36.7147,1857.7,6519.06,0
FreshDiskANN,49.6161,20,10,85,83.9404,3216.82,9834.01,11397.8,13209.9,36.5415,1862.08,6519.06,0
FreshDiskANN,50.6281,20,10,85,84.5009,3226.88,9820.82,11351.2,13043.3,36.6298,1866.16,6519.06,0
FreshDiskANN,51.6401,20,10,85,84.4397,3209.37,9865.41,11423.5,13520.4,36.7201,1870.38,6519.06,0
FreshDiskANN,52.6531,20,10,85,84.4379,2004.16,10729.6,14128.2,313775,36.604,2087.71,6519.06,0
FreshDiskANN,53.6653,20,10,85,84,3044.84,10407.7,12138.1,13951.1,36.5848,2091.83,6519.06,0
FreshDiskANN,54.6771,20,10,85,84.361,3169.83,9995.64,11602.6,13591,36.6858,2095.91,6519.06,0
FreshDiskANN,55.6891,20,10,85,84.6371,3186.19,9955.07,11479.8,13493,36.6331,2100.01,6519.06,0
FreshDiskANN,56.7012,20,10,85,83.9064,3167.19,9991.04,11587.4,13248.6,36.5794,2105.05,6519.06,0
FreshDiskANN,57.7135,20,10,85,84.4469,3135.04,10107.2,11674.2,13531.4,36.6612,2109.27,6519.06,0
FreshDiskANN,58.7259,20,10,85,84.6458,3123.74,10154.3,11698.2,13837.9,36.6565,2113.31,6519.06,0
FreshDiskANN,59.7381,20,10,85,83.7034,3149.86,10050.7,11659.6,13388.5,36.5456,2117.5,6519.06,0
FreshDiskANN,60.7505,20,10,85,84.59,3168.14,9993.11,11603.9,13410.9,36.6598,2121.6,6519.06,0
FreshDiskANN,61.7626,20,10,85,84.6453,3174.62,9970.26,11519.8,13590.6,36.7001,2125.61,6519.06,0
FreshDiskANN,62.7747,20,10,85,83.7167,3222.13,9846.84,11405.2,13124.5,36.5118,2129.7,6519.06,0
FreshDiskANN,63.7866,20,10,85,84.439,3205.32,9866.08,11463.7,13172.4,36.6711,2133.7,6519.06,0
FreshDiskANN,64.7986,20,10,85,84.5901,3037.77,9922.76,11625.9,46627.6,36.7079,2138.08,6519.06,0
FreshDiskANN,65.8106,20,10,85,83.9083,3167.99,9890.43,11676.7,17113.6,36.5502,2142.04,6519.06,0
FreshDiskANN,66.8227,20,10,85,84.4646,3211.44,9831.96,11447.6,13179.6,36.6308,2146.09,6519.06,0
FreshDiskANN,67.8346,20,10,85,84.4334,3191.55,9916.75,11506.5,13621.9,36.7263,2150.36,6519.06,0
FreshDiskANN,68.8469,20,10,85,84.1847,3199.62,9910.74,11439,13314.7,36.5337,2154.39,6519.06,0
FreshDiskANN,69.8592,20,10,85,84.4676,3172.99,9959.04,11593.2,13452.9,36.6046,2158.65,6519.06,0
FreshDiskANN,70.8712,20,10,85,84.1672,3119.85,10142.8,11808.6,13871.6,36.7543,2162.75,6519.06,0
FreshDiskANN,71.8833,20,10,85,84.3838,3151.02,10042.4,11608.6,13557.7,36.5365,2166.92,6519.06,0
FreshDiskANN,72.8956,20,10,85,84.3063,3154.83,10050.7,11589.5,13418.2,36.621,2170.97,6519.06,0
FreshDiskANN,73.9079,20,10,85,84.3106,3116.53,10147.6,11797.1,13842.6,36.7322,2175.02,6519.06,0
FreshDiskANN,74.9199,20,10,85,84.4078,3144.57,10067.5,11634.6,13663.2,36.5774,2179.23,6519.06,0
FreshDiskANN,75.9323,20,10,85,84.0978,3132.55,10094.3,11682.2,13505.3,36.6117,2183.27,6519.06,0
FreshDiskANN,76.9446,20,10,85,84.376,3141.89,10079.6,11678.8,13598,36.679,2187.4,6519.06,0
FreshDiskANN,77.947,20,10,85,84.6387,3103.05,10002.4,11577.5,13534.5,36.6345,2203.73,6519.06,0
FreshDiskANN,78.9606,20,10,85,83.2947,1290.45,11594.5,14037.2,552736,36.495,2512.33,6519.06,0
FreshDiskANN,79.975,20,10,85,84.4211,2673.91,11829.9,13750.1,16036.5,36.6254,2516.4,6519.06,0
FreshDiskANN,80.9897,20,10,85,84.2957,2680.52,11779,13735.1,16091.8,36.6944,2520.62,6519.06,0
FreshDiskANN,82.0044,20,10,85,84.6752,2685.34,11811,13652.1,16103.5,36.6653,2524.82,6519.06,0
FreshDiskANN,83.0191,20,10,85,83.5693,2658.95,11902.1,13827.9,16002.5,36.4896,2528.64,6519.06,0
FreshDiskANN,84.0341,20,10,85,84.6796,2644.97,11974.5,13883.5,15974.8,36.6669,2532.9,6519.06,0
FreshDiskANN,85.0491,20,10,85,84.3152,2625.89,12050.1,13980.3,16476.5,36.7343,2537.06,6519.06,0
FreshDiskANN,86.064,20,10,85,84.5017,2639.18,12034.7,13902.8,16348.5,36.6237,2541.25,6519.06,0
FreshDiskANN,87.0792,20,10,85,83.9319,2632.75,12008.6,13975.4,16066,36.5675,2545.32,6519.06,0
FreshDiskANN,88.094,20,10,85,84.3745,2646.96,11961.3,13847.8,15935.7,36.6176,2549.39,6519.06,0
FreshDiskANN,89.1088,20,10,85,84.4888,2641.01,12029.2,13889.4,16403.4,36.7239,2553.59,6519.06,0
FreshDiskANN,90.1237,20,10,85,84.2577,2614.98,12140,14055,16299.1,36.5309,2557.8,6519.06,0
FreshDiskANN,91.1383,20,10,85,84.1174,2601.55,12140.7,14033.2,16120.7,36.6178,2561.86,6519.06,0
FreshDiskANN,92.153,20,10,85,84.4549,2621.53,12087.9,14056.9,16348.8,36.709,2565.93,6519.06,0
FreshDiskANN,93.1677,20,10,85,84.6442,2631.35,12046.9,13904.8,16395.6,36.6944,2570.01,6519.06,0
FreshDiskANN,94.1824,20,10,85,83.7495,2659.78,11912.9,13801.8,15970.5,36.5061,2574.07,6519.06,0
FreshDiskANN,95.1972,20,10,85,84.5434,2644.37,11951.9,13847.2,16032.4,36.6057,2578.23,6519.06,0
FreshDiskANN,96.2119,20,10,85,84.2499,2633.91,12037.8,13953.4,16399.8,36.7247,2582.37,6519.06,0
