system,time_sec,L,recall_at,recall_target,recall_pct,search_qps,p50_lat_us,p90_lat_us,p99_lat_us,mean_ios,memory_rss_mb,disk_usage_mb,reorg_running
IP-DiskANN,1.02689,50,10,90,0.133136,666.96,27976.8,34054.8,420917,64.571,1565.98,6493.61,0
IP-DiskANN,2.041,50,10,90,0,1151.45,27734.9,30024.2,33053.9,64.8185,1565.98,6504.23,0
IP-DiskANN,3.05742,50,10,90,0,1146.78,27781.6,29970.4,32660.4,64.6191,1565.89,6515.17,0
IP-DiskANN,4.07359,50,10,90,0,1154.04,27708.6,30108,33116.3,64.7093,1566.57,6526.1,0
IP-DiskANN,5.09037,50,10,90,0,1149.5,27783.4,30121.3,32871,64.8219,1571.88,6537.03,0
IP-DiskANN,6.10358,50,10,90,0,1345.33,23049.8,28495.2,33337.2,64.6206,1573.26,6548.75,0
IP-DiskANN,7.11711,50,10,90,0,1425.1,22538.9,24628.8,26688.8,64.7576,1573.27,6561.24,0
IP-DiskANN,8.13,50,10,90,0,1412.34,22659.9,24613.2,26718.8,64.5465,1573.31,6574.52,0
IP-DiskANN,9.14705,50,10,90,0.128297,1385.1,22839.3,25196.3,29532.5,64.6607,1573.1,6587.01,0
IP-DiskANN,10.1634,50,10,90,0,1119.57,28435.3,31173,36332,64.7858,1573.09,6597.25,0
IP-DiskANN,11.18,50,10,90,0,1107.03,28634.1,31370.7,39107.8,64.6009,1573.27,6607.4,0
IP-DiskANN,12.197,50,10,90,0,1097.71,29093.2,31342.7,34506,64.7419,1558.14,6617.55,0
IP-DiskANN,13.2138,50,10,90,0,1099.36,28979,31443,34688.5,64.8318,1562.38,6628.49,0
IP-DiskANN,14.2302,50,10,90,0,1100.55,28963.9,31431.5,33705.9,64.6434,1562.84,6638.63,0
IP-DiskANN,15.2459,50,10,90,0,1083.18,29384.7,31668.4,34205.1,64.8174,1563.24,6649.09,0
IP-DiskANN,16.2624,50,10,90,0,1080.2,29370.5,31887.6,36766.4,64.5223,1563.46,6659.78,0
