system,time_sec,search_qps,search_p99_us,insert_ops,insert_tput,memory_rss_mb
DC-PDI,1.01345,490.405,113163,155,152.943,717.398
DC-PDI,2.01464,8.93458,91127.6,355,176.21,728.453
DC-PDI,3.01527,186.716,84163.7,549,182.073,732.82
DC-PDI,4.0165,23.6524,77565.3,707,176.024,738.555
DC-PDI,5.01773,127.348,78897.8,949,189.129,740.215
DC-PDI,6.01825,29.0782,83103.6,1150,191.086,749.383
DC-PDI,7.01858,103.012,80952.2,1432,204.03,747.367
DC-PDI,8.01901,32.0489,82694,1655,206.385,749.77
DC-PDI,9.01941,87.9215,87936.3,1864,206.665,758.52
DC-PDI,10.0198,31.4376,89255.1,2062,205.792,760.855
DC-PDI,11.0208,76.5826,84518.6,2219,201.347,760.395
DC-PDI,12.0218,31.8587,81737.3,2342,194.812,760.57
DC-PDI,13.0227,70.1852,90933.7,2436,187.058,761.203
DC-PDI,14.0234,32.8736,87752.2,2552,181.981,763.777
DC-PDI,15.0237,0.266245,91164.3,2713,180.581,764.492
DC-PDI,16.0244,32.7625,85065.1,2811,175.42,763.477
DC-PDI,17.0252,3.99407,88096,2971,174.506,764.883
DC-PDI,18.0257,35.3385,83514.3,3141,174.251,764.375
DC-PDI,19.026,9.56584,85007,3249,170.766,765.098
DC-PDI,20.0267,36.4513,86522.7,3427,171.121,766.438
DC-PDI,21.0277,12.5549,81314.5,3599,171.155,766.645
DC-PDI,22.0286,36.952,80959.5,3694,167.691,765.043
DC-PDI,23.0294,15.3282,90925.3,3859,167.568,780.41
DC-PDI,24.0298,38.0361,89742.1,4013,167.001,788.988
DC-PDI,25.0301,19.1369,81054.6,4164,166.36,793.539
DC-PDI,26.0308,0.806738,86655.5,4306,165.42,793.742
DC-PDI,27.0311,20.6798,93611.5,4419,163.478,796.672
DC-PDI,28.0319,3.78141,85368.1,4551,162.351,798.414
DC-PDI,29.0323,22.32,106340,4666,160.718,800.801
DC-PDI,30.0331,5.8935,82695,4778,159.091,805.355
DC-PDI,31.0335,23.3941,79530.2,4899,157.862,806.773
DC-PDI,32.0341,8.55339,77769,5037,157.239,807.652
DC-PDI,33.0347,25.3672,75636,5071,153.505,807.652
DC-PDI,34.0355,11.6055,78868.9,5193,152.576,808.336
DC-PDI,35.0359,26.4871,87301.3,5320,151.844,809.145
DC-PDI,36.0363,13.3754,84309.8,5465,151.653,808.773
DC-PDI,37.0369,0.972004,87534.1,5598,151.147,809.367
