system,time_sec,search_qps,search_p99_us,insert_ops,insert_tput,memory_rss_mb
FreshDiskANN,1.00384,237.089,49416.4,142,141.456,729.902
FreshDiskANN,2.00523,359.56,29742.3,303,151.105,731.949
FreshDiskANN,3.00621,101.124,24528.3,473,157.341,732.113
FreshDiskANN,4.00732,229.081,24589.4,643,160.456,757.469
FreshDiskANN,5.00832,124.992,30154.7,767,153.145,770.953
FreshDiskANN,6.00957,54.2468,33318.4,895,148.929,782.043
FreshDiskANN,7.01065,16.1183,25578.2,992,141.499,793.496
FreshDiskANN,8.0119,110.461,29794.1,1096,136.797,799.598
FreshDiskANN,9.01286,63.5758,38040.8,1219,135.251,808.336
FreshDiskANN,10.0139,26.5631,38926.7,1319,131.717,808.32
FreshDiskANN,11.015,62.1877,43313.8,1399,127.008,809.891
FreshDiskANN,12.016,20.3895,39434.4,1461,121.588,812.426
FreshDiskANN,13.017,2.76562,31223.6,1543,118.538,814.492
FreshDiskANN,14.0179,59.4954,36731.5,1626,115.995,817.238
FreshDiskANN,15.019,47.0738,23530.2,1695,112.857,820.895
FreshDiskANN,16.02,35.4557,25388.1,1763,110.05,822.203
FreshDiskANN,17.0211,21.2677,32960.5,1850,108.688,823.137
FreshDiskANN,18.0222,7.32432,39295.1,1945,107.923,823.316
FreshDiskANN,19.0231,0.89365,31537.3,2001,105.188,823.504
FreshDiskANN,20.0242,43.4475,30177.6,2070,103.375,823.383
FreshDiskANN,21.0251,36.0997,25591.9,2125,101.07,823.008
FreshDiskANN,22.0262,28.1937,26686.1,2193,99.5632,824.324
FreshDiskANN,23.0273,21.8002,24837.1,2249,97.6667,824.836
FreshDiskANN,24.0281,17.3963,22278.8,2301,95.7627,826.191
FreshDiskANN,25.0292,12.7051,22685.8,2359,94.2498,826.207
FreshDiskANN,26.0303,8.75902,21789.8,2404,92.3538,826.238
FreshDiskANN,27.0314,1.10982,36265.4,2487,92.004,826.457
FreshDiskANN,28.0323,32.4982,35766.1,2542,90.681,826.457
FreshDiskANN,29.0331,29.7591,19621.8,2586,89.0708,826.566
FreshDiskANN,30.0339,24.9052,25361,2649,88.2003,826.094
FreshDiskANN,31.035,19.1074,33714.6,2710,87.3207,826.293
FreshDiskANN,32.0361,15.8259,22561.7,2757,86.0593,824.012
FreshDiskANN,33.0372,12.3497,25828.1,2812,85.1163,826.688
FreshDiskANN,34.0379,10.077,23254.3,2854,83.8478,827.645
FreshDiskANN,35.039,7.64862,22305,2904,82.879,828.535
FreshDiskANN,36.04,3.49611,35505.2,2971,82.4361,829.273
FreshDiskANN,37.0408,1.24187,29128.4,3013,81.3428,829.273
FreshDiskANN,38.0419,25.6822,20331.4,3052,80.2273,829.324
