system,time_sec,search_qps,search_p99_us,insert_ops,insert_tput,memory_rss_mb
IP-DiskANN,1.01335,526.963,49885.5,171,168.747,716.703
IP-DiskANN,2.01457,41.6962,25269.8,335,166.288,726.047
IP-DiskANN,3.01555,208.917,25108.7,504,167.134,731.938
IP-DiskANN,4.01674,206.386,35573.9,635,158.088,763.715
IP-DiskANN,5.01791,71.9423,36728.9,754,150.262,770.91
IP-DiskANN,6.01889,5.15045,32444.2,877,145.708,777.492
IP-DiskANN,7.01986,109.546,27166.3,970,138.179,780.027
IP-DiskANN,8.02122,61.5867,28398.7,1076,134.144,781.832
IP-DiskANN,9.02204,19.1753,34246.8,1185,131.345,785.609
IP-DiskANN,10.023,63.4542,48121.3,1289,128.605,789.406
IP-DiskANN,11.024,2.63062,48320.9,1365,123.821,792.297
IP-DiskANN,12.025,37.921,42490.7,1433,119.168,792.395
IP-DiskANN,13.0262,70.1663,34763,1485,114.001,792.785
IP-DiskANN,14.0274,20.6025,47252.7,1574,112.209,791.82
IP-DiskANN,15.0283,48.7745,38566.8,1631,108.528,792.129
IP-DiskANN,16.0293,13.1634,28800.8,1683,104.996,792.285
IP-DiskANN,17.0304,38.6369,40048.2,1745,102.464,792.234
IP-DiskANN,18.0314,6.54415,35433,1803,99.9923,792.156
IP-DiskANN,19.0324,24.3269,58661.1,1880,98.7787,791.883
IP-DiskANN,20.0333,43.3279,51305.6,1945,97.0885,792.234
IP-DiskANN,21.0342,15.0707,46845.5,1994,94.798,793.254
IP-DiskANN,22.0353,34.5354,41555.1,2052,93.1231,796.902
IP-DiskANN,23.0365,9.81051,33029.2,2095,90.9426,797.363
IP-DiskANN,24.0375,29.6204,29847.9,2140,89.0277,797.68
IP-DiskANN,25.0386,7.70811,34019.2,2194,87.6248,798.168
IP-DiskANN,26.0396,25.2692,39731.1,2246,86.2532,798.859
IP-DiskANN,27.0406,5.28835,42246.1,2282,84.3917,799.074
IP-DiskANN,28.0415,24.2854,24461.9,2316,82.5918,799.586
IP-DiskANN,29.0427,5.64685,30776.9,2364,81.3973,800
IP-DiskANN,30.0438,22.7002,27167.8,2408,80.1495,800
IP-DiskANN,31.0449,4.7995,36565.8,2461,79.2722,800
IP-DiskANN,32.0459,17.8494,46879.3,2518,78.5748,801.801
IP-DiskANN,33.0469,2.84444,41711,2550,77.1631,801.867
IP-DiskANN,34.0481,18.7676,24060,2582,75.834,801.926
IP-DiskANN,35.0492,3.39522,34196.1,2637,75.237,801.953
IP-DiskANN,36.0503,17.4201,32727.3,2680,74.3405,801.973
IP-DiskANN,37.0513,2.24014,49838.6,2728,73.6277,801.98
IP-DiskANN,38.0523,15.9254,30621.9,2759,72.5054,801.98
IP-DiskANN,39.0535,2.56059,34298,2808,71.9014,801.984
IP-DiskANN,40.0545,15.2542,34075,2848,71.1031,802
IP-DiskANN,41.0555,3.99459,25040.6,2880,70.1489,802.887
IP-DiskANN,42.0568,15.2413,40708.1,2929,69.6439,803.344
IP-DiskANN,43.0578,0.998657,59982.5,2989,69.4183,806.555
IP-DiskANN,44.0589,13.1869,28374.1,3020,68.5447,804.461
IP-DiskANN,45.0601,2.95162,24976.3,3049,67.6652,805.707
IP-DiskANN,46.0612,14.1334,29468.5,3096,67.2149,806.699
IP-DiskANN,47.0624,3.50598,37166.9,3127,66.4437,806.953
IP-DiskANN,48.0636,14.1271,27653.1,3172,65.9959,806.953
IP-DiskANN,49.0646,3.52596,43203.6,3211,65.4443,806.988
IP-DiskANN,50.0657,14.2612,28878.2,3245,64.8148,806.988
IP-DiskANN,51.0669,5.28719,29322.3,3273,64.0924,806.988
IP-DiskANN,52.068,15.8447,24643.1,3300,63.3786,806.988
IP-DiskANN,53.0692,6.55747,27324.8,3342,62.9744,807.215
IP-DiskANN,54.0704,3.34749,25524.7,3367,62.2706,807.168
IP-DiskANN,55.0715,0.980544,20185.1,3420,62.1011,806.887
IP-DiskANN,56.0725,16.978,29048.2,3465,61.795,805.484
IP-DiskANN,57.0736,7.58669,42693.1,3511,61.517,805.668
IP-DiskANN,58.0747,16.651,33535.6,3541,60.9732,805.668
IP-DiskANN,59.0759,9.12386,24225.1,3563,60.3123,807.391
IP-DiskANN,60.0771,1.38156,24768.5,3598,59.8898,807.391
IP-DiskANN,61.0782,10.462,25097.2,3628,59.3992,807.832
IP-DiskANN,62.0794,2.44848,33289,3667,59.0695,808.027
IP-DiskANN,63.0804,9.54337,50487.6,3720,58.9723,808.027
IP-DiskANN,64.0813,1.57612,41152.1,3756,58.6131,811.77
IP-DiskANN,65.0822,8.61986,46596.3,3800,58.3877,816.801
IP-DiskANN,66.0832,1.84616,30959.3,3818,57.7757,816.863
IP-DiskANN,67.0841,12.0744,24372.4,3848,57.3609,818.625
IP-DiskANN,68.0851,10.0609,26995.2,3901,57.2959,818.707
IP-DiskANN,69.0862,6.70178,34504.7,3947,57.1316,821.277
IP-DiskANN,70.0873,13.3976,43286.2,3979,56.772,820.367
IP-DiskANN,71.0884,7.13197,24619.4,4001,56.2821,821.969
IP-DiskANN,72.0896,0.582608,24870,4036,55.9859,822.125
IP-DiskANN,73.0908,8.04479,26894.7,4064,55.6021,823.043
IP-DiskANN,74.0923,1.80856,27968.1,4090,55.2014,823.23
IP-DiskANN,75.0934,9.48153,23971,4107,54.6919,823.23
IP-DiskANN,76.0947,3.27224,24707.7,4141,54.419,823.242
IP-DiskANN,77.0959,10.1432,24686.9,4172,54.1145,823.258
IP-DiskANN,78.097,4.21271,24828.8,4201,53.7921,823.258
IP-DiskANN,79.0979,11.0875,26993.6,4227,53.4401,823.07
IP-DiskANN,80.0992,5.10617,25300.6,4261,53.1966,823.023
IP-DiskANN,81.1002,11.9112,32760.1,4284,52.8235,822.875
IP-DiskANN,82.1013,6.09004,25194.3,4319,52.6057,822.812
IP-DiskANN,83.1024,11.9491,43152.6,4353,52.3812,822.906
IP-DiskANN,84.1035,5.48134,37129.6,4389,52.1857,824.742
IP-DiskANN,85.1046,0.399508,28949.4,4401,51.7128,824.742
IP-DiskANN,86.1058,6.34104,33157.3,4444,51.6109,826.531
IP-DiskANN,87.1068,1.58426,27388.5,4456,51.1556,827.332
IP-DiskANN,88.108,7.59296,25322,4493,50.9942,827.547
IP-DiskANN,89.1091,2.525,25590,4518,50.7019,827.535
IP-DiskANN,90.1103,8.33423,31443.8,4549,50.4826,827.863
IP-DiskANN,91.1114,3.31462,25304.6,4572,50.1803,827.965
IP-DiskANN,92.1126,8.75016,27265.4,4597,49.9063,827.965
IP-DiskANN,93.1137,2.13717,40950.9,4646,49.896,828.133
IP-DiskANN,94.1146,6.51334,58899.9,4670,49.6204,828.133
IP-DiskANN,95.1157,0.977756,34990.9,4696,49.3714,828.047
IP-DiskANN,96.1169,6.48169,29648.7,4729,49.2005,828.051
IP-DiskANN,97.1179,1.71956,33146.9,4750,48.9096,827.492
IP-DiskANN,98.119,7.25649,29515.9,4783,48.7469,827.492
IP-DiskANN,99.1201,2.99637,23809.8,4801,48.4362,827.738
IP-DiskANN,100.121,7.62076,46861.9,4851,48.4513,828.719
IP-DiskANN,101.122,3.2436,36431.5,4862,48.0804,828.523
IP-DiskANN,102.123,8.62682,24300.1,4885,47.8343,828.211
IP-DiskANN,103.125,4.05335,24646,4916,47.6705,828.012
IP-DiskANN,104.126,9.13319,28052.8,4950,47.5387,828.125
IP-DiskANN,105.127,4.68006,30494.3,4973,47.3048,828.125
IP-DiskANN,106.128,0.17903,28302.3,5002,47.1319,825.16
IP-DiskANN,107.129,6.89824,31257.7,5034,46.9902,825.727
IP-DiskANN,108.13,6.27024,19889.9,5058,46.7771,825.727
IP-DiskANN,109.131,5.19559,21855.7,5107,46.797,825.727
IP-DiskANN,110.132,4.41289,29414,5133,46.6078,825.961
IP-DiskANN,111.133,3.64428,21184.5,5169,46.5118,825.961
IP-DiskANN,112.134,8.66819,33176,5193,46.3106,825.961
IP-DiskANN,113.135,4.63162,25052,5217,46.1129,825.961
IP-DiskANN,114.136,0.630824,25875,5244,45.945,825.961
IP-DiskANN,115.138,5.27195,26503.1,5276,45.8234,825.961
IP-DiskANN,116.139,1.22267,30001.2,5299,45.6264,826.586
IP-DiskANN,117.14,5.69404,30446.2,5334,45.5352,827.602
IP-DiskANN,118.141,1.08345,48485.8,5369,45.4457,827.5
IP-DiskANN,119.142,5.4221,33812.6,5399,45.3156,827.219
IP-DiskANN,120.143,0.332936,32135.9,5414,45.0629,829.598
